0.100000, 0, 0
0.200000, 1, 0
0.300000, 0, 0
0.400000, 0, 0
0.500000, 0, 0
0.600000, 1, 0
0.700000, 0, 0
0.800000, 0, 0
0.900000, 0, 0
1.000000, 1, 0
1.100000, 7, 3
1.200000, 12, 2
1.300000, 25, 1
1.400000, 6, 1
1.500000, 1, 2
1.600000, 4, 0
1.700000, 0, 1
1.800000, 1, 2
1.900000, 0, 0
2.000000, 0, 1
2.100000, 0, 0
2.200000, 9, 6
2.300000, 4, 0
2.400000, 14, 7
2.500000, 32, 3
2.600000, 22, 1
2.700000, 26, 2
2.800000, 26, 0
2.900000, 17, 1
3.000000, 9, 1
3.100000, 8, 3
3.200000, 0, 0
3.300000, 10, 4
3.400000, 0, 0
3.500000, 0, 0
3.600000, 2, 9
3.700000, 7, 0
3.800000, 1, 0
3.900000, 21, 0
4.000000, 33, 3
4.100000, 45, 0
4.200000, 48, 7
4.300000, 36, 0
4.400000, 39, 8
4.500000, 34, 2
4.600000, 25, 0
4.700000, 5, 2
4.800000, 7, 3
4.900000, 0, 1
5.000000, 0, 0
5.100000, 0, 1
5.200000, 14, 0
5.300000, 10, 15
5.400000, 26, 3
5.500000, 26, 3
5.600000, 45, 7
5.700000, 54, 12
5.800000, 65, 3
5.900000, 74, 6
6.000000, 83, 2
6.100000, 79, 1
6.200000, 49, 6
6.300000, 62, 3
6.400000, 42, 0
6.500000, 48, 1
6.600000, 19, 0
6.700000, 0, 0
6.800000, 1, 3
6.900000, 0, 0
7.000000, 2, 3
7.100000, 7, 0
7.200000, 18, 17
7.300000, 18, 0
7.400000, 20, 23
7.500000, 40, 13
7.600000, 52, 37
7.700000, 63, 44
7.800000, 73, 25
7.900000, 83, 15
8.000000, 97, 3
8.100000, 86, 9
8.200000, 79, 0
8.300000, 58, 9
8.400000, 60, 0
8.500000, 22, 0
8.600000, 1, 0
8.700000, 1, 0
8.800000, 0, 0
8.900000, 1, 0
9.000000, 0, 0
9.100000, 15, 10
9.200000, 24, 14
9.300000, 37, 25
9.400000, 57, 16
9.500000, 76, 41
9.600000, 87, 56
9.700000, 95, 52
9.800000, 109, 43
9.900000, 127, 23
10.000000, 140, 14
10.100000, 148, 0
10.200000, 133, 0
10.300000, 94, 0
10.400000, 62, 0
10.500000, 28, 0
10.600000, 3, 0
10.700000, 0, 0
10.800000, 0, 0
10.900000, 0, 0
11.000000, 1, 0
11.100000, 3, 11
11.200000, 19, 20
11.300000, 35, 45
11.400000, 49, 70
11.500000, 68, 95
11.600000, 83, 114
11.700000, 100, 105
11.800000, 108, 96
11.900000, 121, 81
12.000000, 129, 69
12.100000, 155, 50
12.200000, 174, 25
12.300000, 196, 0
12.400000, 162, 0
12.500000, 118, 0
12.600000, 79, 0
12.700000, 45, 0
12.800000, 3, 0
12.900000, 1, 0
13.000000, 0, 0
13.100000, 0, 0
13.200000, 1, 0
13.300000, 1, 0
13.400000, 18, 26
13.500000, 29, 51
13.600000, 46, 76
13.700000, 72, 101
13.800000, 91, 126
13.900000, 110, 112
14.000000, 124, 99
14.100000, 142, 87
14.200000, 150, 77
14.300000, 165, 69
14.400000, 176, 45
14.500000, 189, 20
14.600000, 200, 0
14.700000, 160, 0
14.800000, 128, 0
14.900000, 92, 0
15.000000, 52, 0
15.100000, 15, 0
15.200000, 0, 0
15.300000, 1, 0
15.400000, 1, 0
15.500000, 0, 0
15.600000, 7, 6
15.700000, 20, 31
15.800000, 37, 56
15.900000, 49, 81
16.000000, 62, 106
16.100000, 76, 131
16.200000, 92, 135
16.300000, 109, 127
16.400000, 126, 125
16.500000, 146, 117
16.600000, 163, 106
16.700000, 178, 81
16.800000, 188, 56
16.900000, 208, 31
17.000000, 222, 6
17.100000, 199, 0
17.200000, 156, 0
17.300000, 129, 0
17.400000, 97, 0
17.500000, 63, 0
17.600000, 26, 0
17.700000, 0, 0
17.800000, 1, 0
17.900000, 0, 0
18.000000, 0, 0
18.100000, 12, 20
18.200000, 29, 45
18.300000, 45, 70
18.400000, 60, 95
18.500000, 78, 120
18.600000, 88, 145
18.700000, 108, 158
18.800000, 125, 146
18.900000, 139, 139
19.000000, 148, 130
19.100000, 161, 111
19.200000, 175, 86
19.300000, 196, 61
19.400000, 208, 36
19.500000, 224, 11
19.600000, 214, 0
19.700000, 174, 0
19.800000, 137, 0
19.900000, 100, 0
20.000000, 64, 0
20.100000, 24, 0
20.200000, 2, 0
20.300000, 1, 0
20.400000, 0, 0
20.500000, 0, 0
20.600000, 10, 16
20.700000, 34, 41
20.800000, 46, 66
20.900000, 65, 91
21.000000, 90, 116
21.100000, 103, 141
21.200000, 123, 158
21.300000, 136, 149
21.400000, 150, 140
21.500000, 166, 133
21.600000, 180, 117
21.700000, 193, 92
21.800000, 204, 67
21.900000, 217, 42
22.000000, 230, 17
22.100000, 233, 0
22.200000, 193, 0
22.300000, 154, 0
22.400000, 118, 0
22.500000, 86, 0
22.600000, 47, 0
22.700000, 9, 0
22.800000, 1, 0
22.900000, 0, 0
23.000000, 0, 0
23.100000, 3, 9
23.200000, 16, 34
23.300000, 26, 59
23.400000, 35, 84
23.500000, 49, 109
23.600000, 69, 134
23.700000, 78, 159
23.800000, 89, 162
23.900000, 107, 146
24.000000, 117, 136
24.100000, 138, 125
24.200000, 145, 100
24.300000, 165, 75
24.400000, 174, 50
24.500000, 188, 25
24.600000, 204, 0
24.700000, 174, 0
24.800000, 136, 0
24.900000, 95, 0
25.000000, 65, 0
25.100000, 31, 0
25.200000, 0, 0
